region,trending_date,category_title,videos_count
France,2017-12-16,Education,2
France,2017-12-17,Education,6
France,2017-12-18,Education,8
France,2017-12-19,Education,8
France,2017-12-20,Education,4
France,2017-12-21,Education,12
France,2017-12-22,Education,12
France,2017-12-23,Education,6
France,2017-12-24,Education,6
France,2017-12-25,Education,6
France,2017-12-26,Education,12
France,2017-12-27,Education,10
France,2017-12-28,Education,6
France,2017-12-29,Education,4
France,2017-12-30,Education,6
France,2017-12-31,Education,12
France,2018-01-01,Education,6
France,2018-01-02,Education,10
France,2018-01-03,Education,8
France,2018-01-04,Education,2
France,2018-01-05,Education,2
France,2018-01-06,Education,4
France,2018-01-07,Education,6
France,2018-01-08,Education,10
France,2018-01-09,Education,2
France,2018-01-12,Education,10
France,2018-01-13,Education,6
France,2018-01-14,Education,2
France,2018-01-15,Education,16
France,2018-01-16,Education,8
France,2018-01-17,Education,8
France,2018-01-18,Education,4
France,2018-01-19,Education,6
France,2018-01-20,Education,6
France,2018-01-21,Education,2
France,2018-01-22,Education,6
France,2018-01-23,Education,10
France,2018-01-24,Education,4
France,2018-01-25,Education,10
France,2018-01-26,Education,10
France,2018-01-27,Education,6
France,2018-01-28,Education,2
France,2018-01-29,Education,6
France,2018-01-30,Education,8
France,2018-01-31,Education,12
France,2018-02-01,Education,10
France,2018-02-02,Education,8
France,2018-02-03,Education,4
France,2018-02-04,Education,6
France,2018-02-05,Education,6
France,2018-02-06,Education,8
France,2018-02-07,Education,10
France,2018-02-08,Education,6
France,2018-02-09,Education,14
France,2018-02-10,Education,6
France,2018-02-11,Education,10
France,2018-02-12,Education,8
France,2018-02-13,Education,10
France,2018-02-14,Education,4
France,2018-02-15,Education,12
France,2018-02-16,Education,8
France,2018-02-17,Education,6
France,2018-02-18,Education,2
France,2018-02-19,Education,10
France,2018-02-20,Education,6
France,2018-02-21,Education,4
France,2018-02-22,Education,6
France,2018-02-23,Education,2
France,2018-02-24,Education,8
France,2018-02-25,Education,4
France,2018-02-26,Education,6
France,2018-02-27,Education,4
France,2018-02-28,Education,10
France,2018-03-01,Education,8
France,2018-03-02,Education,12
France,2018-03-03,Education,6
France,2018-03-04,Education,4
France,2018-03-05,Education,2
France,2018-03-06,Education,8
France,2018-03-07,Education,6
France,2018-03-08,Education,6
France,2018-03-09,Education,12
France,2018-03-10,Education,6
France,2018-03-12,Education,10
France,2018-03-13,Education,2
France,2018-03-14,Education,2
France,2018-03-15,Education,8
France,2018-03-16,Education,14
France,2018-03-17,Education,16
France,2018-03-18,Education,4
France,2018-03-19,Education,12
France,2018-03-20,Education,4
France,2018-03-22,Education,2
France,2018-03-23,Education,8
France,2018-03-24,Education,8
France,2018-03-25,Education,6
France,2018-03-26,Education,8
France,2018-03-27,Education,4
France,2018-03-28,Education,10
France,2018-03-29,Education,8
France,2018-03-30,Education,6
France,2018-03-31,Education,8
France,2018-04-01,Education,4
France,2018-04-02,Education,6
France,2018-04-03,Education,4
France,2018-04-04,Education,6
France,2018-04-05,Education,6
France,2018-04-06,Education,8
France,2018-04-07,Education,6
France,2018-04-14,Education,8
France,2018-04-15,Education,10
France,2018-04-16,Education,10
France,2018-04-17,Education,4
France,2018-04-18,Education,4
France,2018-04-19,Education,10
France,2018-04-20,Education,6
France,2018-04-21,Education,12
France,2018-04-22,Education,6
France,2018-04-23,Education,8
France,2018-04-24,Education,10
France,2018-04-26,Education,4
France,2018-04-27,Education,4
France,2018-04-28,Education,14
France,2018-04-29,Education,6
France,2018-04-30,Education,4
France,2018-05-01,Education,4
France,2018-05-04,Education,6
France,2018-05-05,Education,6
France,2018-05-06,Education,6
France,2018-05-07,Education,10
France,2018-05-08,Education,6
France,2018-05-09,Education,6
France,2018-05-10,Education,8
France,2018-05-11,Education,10
France,2018-05-12,Education,10
France,2018-05-13,Education,4
France,2018-05-14,Education,8
France,2018-05-15,Education,6
France,2018-05-16,Education,8
France,2018-05-17,Education,6
France,2018-05-18,Education,8
France,2018-05-19,Education,6
France,2018-05-20,Education,4
France,2018-05-21,Education,10
France,2018-05-22,Education,10
France,2018-05-23,Education,6
France,2018-05-24,Education,6
France,2018-05-25,Education,8
France,2018-05-26,Education,10
France,2018-05-27,Education,6
France,2018-05-28,Education,6
France,2018-05-29,Education,6
France,2018-05-30,Education,10
France,2018-05-31,Education,4
France,2018-06-01,Education,2
France,2018-06-03,Education,8
France,2018-06-04,Education,14
France,2018-06-05,Education,16
France,2018-06-06,Education,6
France,2018-06-07,Education,8
France,2018-06-08,Education,8
France,2018-06-09,Education,14
France,2018-06-10,Education,10
France,2018-06-11,Education,16
France,2018-06-12,Education,16
France,2018-06-13,Education,16
France,2018-06-14,Education,8
France,2017-11-14,Entertainment,104
France,2017-11-15,Entertainment,90
France,2017-11-16,Entertainment,94
France,2017-11-17,Entertainment,90
France,2017-11-18,Entertainment,80
France,2017-11-19,Entertainment,90
France,2017-11-20,Entertainment,90
France,2017-11-21,Entertainment,86
France,2017-11-22,Entertainment,96
France,2017-11-23,Entertainment,98
France,2017-11-24,Entertainment,88
France,2017-11-25,Entertainment,84
France,2017-11-26,Entertainment,66
France,2017-11-27,Entertainment,64
France,2017-11-28,Entertainment,98
France,2017-11-29,Entertainment,108
France,2017-11-30,Entertainment,90
France,2017-12-01,Entertainment,90
France,2017-12-02,Entertainment,68
France,2017-12-03,Entertainment,98
France,2017-12-04,Entertainment,96
France,2017-12-05,Entertainment,108
France,2017-12-06,Entertainment,108
France,2017-12-07,Entertainment,104
France,2017-12-08,Entertainment,102
France,2017-12-09,Entertainment,78
France,2017-12-10,Entertainment,92
France,2017-12-11,Entertainment,86
France,2017-12-12,Entertainment,104
France,2017-12-13,Entertainment,98
France,2017-12-14,Entertainment,82
France,2017-12-15,Entertainment,78
France,2017-12-16,Entertainment,96
France,2017-12-17,Entertainment,98
France,2017-12-18,Entertainment,104
France,2017-12-19,Entertainment,112
France,2017-12-20,Entertainment,104
France,2017-12-21,Entertainment,102
France,2017-12-22,Entertainment,80
France,2017-12-23,Entertainment,74
France,2017-12-24,Entertainment,104
France,2017-12-25,Entertainment,102
France,2017-12-26,Entertainment,96
France,2017-12-27,Entertainment,112
France,2017-12-28,Entertainment,92
France,2017-12-29,Entertainment,102
France,2017-12-30,Entertainment,116
France,2017-12-31,Entertainment,100
France,2018-01-01,Entertainment,84
France,2018-01-02,Entertainment,84
France,2018-01-03,Entertainment,84
France,2018-01-04,Entertainment,86
France,2018-01-05,Entertainment,86
France,2018-01-06,Entertainment,82
France,2018-01-07,Entertainment,94
France,2018-01-08,Entertainment,90
France,2018-01-09,Entertainment,110
France,2018-01-12,Entertainment,76
France,2018-01-13,Entertainment,82
France,2018-01-14,Entertainment,96
France,2018-01-15,Entertainment,74
France,2018-01-16,Entertainment,68
France,2018-01-17,Entertainment,80
France,2018-01-18,Entertainment,80
France,2018-01-19,Entertainment,78
France,2018-01-20,Entertainment,76
France,2018-01-21,Entertainment,100
France,2018-01-22,Entertainment,86
France,2018-01-23,Entertainment,92
France,2018-01-24,Entertainment,96
France,2018-01-25,Entertainment,86
France,2018-01-26,Entertainment,86
France,2018-01-27,Entertainment,84
France,2018-01-28,Entertainment,88
France,2018-01-29,Entertainment,82
France,2018-01-30,Entertainment,88
France,2018-01-31,Entertainment,96
France,2018-02-01,Entertainment,86
France,2018-02-02,Entertainment,72
France,2018-02-03,Entertainment,94
France,2018-02-04,Entertainment,110
France,2018-02-05,Entertainment,72
France,2018-02-06,Entertainment,94
France,2018-02-07,Entertainment,96
France,2018-02-08,Entertainment,82
France,2018-02-09,Entertainment,92
France,2018-02-10,Entertainment,84
France,2018-02-11,Entertainment,102
France,2018-02-12,Entertainment,80
France,2018-02-13,Entertainment,76
France,2018-02-14,Entertainment,92
France,2018-02-15,Entertainment,84
France,2018-02-16,Entertainment,90
France,2018-02-17,Entertainment,112
France,2018-02-18,Entertainment,114
France,2018-02-19,Entertainment,100
France,2018-02-20,Entertainment,86
France,2018-02-21,Entertainment,120
France,2018-02-22,Entertainment,106
France,2018-02-23,Entertainment,86
France,2018-02-24,Entertainment,78
France,2018-02-25,Entertainment,92
France,2018-02-26,Entertainment,82
France,2018-02-27,Entertainment,88
France,2018-02-28,Entertainment,102
France,2018-03-01,Entertainment,80
France,2018-03-02,Entertainment,82
France,2018-03-03,Entertainment,76
France,2018-03-04,Entertainment,106
France,2018-03-05,Entertainment,106
France,2018-03-06,Entertainment,100
France,2018-03-07,Entertainment,98
France,2018-03-08,Entertainment,112
France,2018-03-09,Entertainment,90
France,2018-03-10,Entertainment,86
France,2018-03-11,Entertainment,94
France,2018-03-12,Entertainment,74
France,2018-03-13,Entertainment,60
France,2018-03-14,Entertainment,62
France,2018-03-15,Entertainment,102
France,2018-03-16,Entertainment,90
France,2018-03-17,Entertainment,82
France,2018-03-18,Entertainment,106
France,2018-03-19,Entertainment,94
France,2018-03-20,Entertainment,92
France,2018-03-21,Entertainment,100
France,2018-03-22,Entertainment,98
France,2018-03-23,Entertainment,102
France,2018-03-24,Entertainment,72
France,2018-03-25,Entertainment,90
France,2018-03-26,Entertainment,66
France,2018-03-27,Entertainment,88
France,2018-03-28,Entertainment,76
France,2018-03-29,Entertainment,84
France,2018-03-30,Entertainment,94
France,2018-03-31,Entertainment,78
France,2018-04-01,Entertainment,76
France,2018-04-02,Entertainment,98
France,2018-04-03,Entertainment,90
France,2018-04-04,Entertainment,84
France,2018-04-05,Entertainment,78
France,2018-04-06,Entertainment,76
France,2018-04-07,Entertainment,78
France,2018-04-14,Entertainment,80
France,2018-04-15,Entertainment,92
France,2018-04-16,Entertainment,76
France,2018-04-17,Entertainment,84
France,2018-04-18,Entertainment,100
France,2018-04-19,Entertainment,98
France,2018-04-20,Entertainment,102
France,2018-04-21,Entertainment,80
France,2018-04-22,Entertainment,84
France,2018-04-23,Entertainment,72
France,2018-04-24,Entertainment,100
France,2018-04-25,Entertainment,96
France,2018-04-26,Entertainment,90
France,2018-04-27,Entertainment,84
France,2018-04-28,Entertainment,80
France,2018-04-29,Entertainment,98
France,2018-04-30,Entertainment,98
France,2018-05-01,Entertainment,92
France,2018-05-02,Entertainment,88
France,2018-05-03,Entertainment,106
France,2018-05-04,Entertainment,100
France,2018-05-05,Entertainment,82
France,2018-05-06,Entertainment,96
France,2018-05-07,Entertainment,66
France,2018-05-08,Entertainment,72
France,2018-05-09,Entertainment,86
France,2018-05-10,Entertainment,104
France,2018-05-11,Entertainment,90
France,2018-05-12,Entertainment,78
France,2018-05-13,Entertainment,94
France,2018-05-14,Entertainment,68
France,2018-05-15,Entertainment,82
France,2018-05-16,Entertainment,100
France,2018-05-17,Entertainment,108
France,2018-05-18,Entertainment,120
France,2018-05-19,Entertainment,120
France,2018-05-20,Entertainment,114
France,2018-05-21,Entertainment,114
France,2018-05-22,Entertainment,118
France,2018-05-23,Entertainment,128
France,2018-05-24,Entertainment,106
France,2018-05-25,Entertainment,116
France,2018-05-26,Entertainment,98
France,2018-05-27,Entertainment,94
France,2018-05-28,Entertainment,102
France,2018-05-29,Entertainment,116
France,2018-05-30,Entertainment,118
France,2018-05-31,Entertainment,132
France,2018-06-01,Entertainment,106
France,2018-06-02,Entertainment,116
France,2018-06-03,Entertainment,122
France,2018-06-04,Entertainment,100
France,2018-06-05,Entertainment,96
France,2018-06-06,Entertainment,118
France,2018-06-07,Entertainment,134
France,2018-06-08,Entertainment,120
France,2018-06-09,Entertainment,104
